,text,text_final
26,"['@', 'flysfo', 'it', ""'d"", 'be', 'super-useful', 'to', 'be', 'able', 'to', 'split', 'the', 'arrivals', '&', 'departures', 'flight', 'lists', 'on', 'your', 'site', 'by', 'national/international', 'flights', '!', 'at', 'least', 'add', 'a', '``', 'country', ""''"", 'column', '?']","['split', 'arrival', 'departure', 'list', 'least', 'column']"
27,"['if', 'every', 'security', 'checkpoint', 'was', 'like', 'this', 'one']","['every', 'security', 'checkpoint', 'one']"
28,"['@', 'flysfo', 'in', 'security', 'line', '.', 'boarding', '@', 'americanair', 'starts', '6:18.', 'this', 'is', 'not', 'good', '.']","['security', 'line']"
29,"['#', 'sna', 'bound', '....', 'back', 'to', 'my', 'hood', ';', ')', 'friends', '&', 'and', 'family', 'time', '(', '@', 'san', 'francisco', 'international', 'airport', '-', '@', 'flysfo', 'in', 'san', 'francisco']","['sna', 'back', 'hood', 'friends', 'time']"
30,"['@', 'delta', 'one', 'person', 'working', 'special', 'services', 'at', '@', 'flysfo', '40', 'mins', 'in', 'line', 'and', 'we', '’', 've', 'barely', 'moved', '.', 'judy', 'smith', 'at', 'customer', 'support', 'told', 'me', 'she', '’', 's', 'works', 'reservations', 'and', 'can', '’', 't', 'help', 'me', 'or', 'route', 'me', 'to', 'right', 'person', '.', '#', 'nocustomerservicepic.twitter.com/tb7pwempqe']","['one', 'special', 'service', 'min', 'line', 'move', 'judy', 'smith', 'reservation']"
31,"['we', '’', 're', 'finally', 'back', '(', '@', 'san', 'francisco', 'international', 'airport', '-', '@', 'flysfo', 'in', 'san', 'francisco']",['back']
32,"['i', '’', 'll', 'investigate', 'when', 'i', 'visit', '!']",[]
33,"['at', '@', 'flysfo', '[', 'pic', ']', '—', 'https', ':', '//path.com/p/xnehm']",[]
34,"['sfo-phl-yul', '(', '@', 'san', 'francisco', 'international', 'airport', '-', '@', 'flysfo', 'in', 'san', 'francisco']",[]
35,"['play', 'del', 'carmen']","['del', 'carmen']"
36,"['we', 'are', 'placing', 'cat', 'tqs', 'in', 'our', 'aed', 'cabinets', 'and', 'already', 'offer', '``', 'aha+', ""''"", 'first', 'aid', 'stop', 'the', 'bleed', 'training', 'at', 'our', '``', 'run/hide/fight/help', ""''"", 'trainings', 'at', '@', 'flysfo', '20', 'down']","['cat', 'tqs', 'aed', 'cabinet', 'already', 'first', 'aid', 'stop', 'bleed']"
37,"['back', 'home', '.', '(', '@', 'san', 'francisco', 'international', 'airport', '-', '@', 'flysfo', 'in', 'san', 'francisco']",['back']
38,"['back', 'in', 'the', 'sf', 'bay', '@', 'flysfo', '@', 'southwestair']",['back']
39,"['i', ""'m"", 'at', 'san', 'francisco', 'international', 'airport', '-', '@', 'flysfo', 'in', 'san', 'francisco']",[]
40,"['i', ""'m"", 'at', 'san', 'francisco', 'international', 'airport', '-', '@', 'flysfo', 'in', 'san', 'francisco']",[]
41,"['i', ""'m"", 'at', 'san', 'francisco', 'international', 'airport', '-', '@', 'flysfo', 'in', 'san', 'francisco']",[]
