,words,counts
1406,incompetence,4.0
1407,ineptitude,4.0
1408,ing,4.0
1409,initiative,4.0
1410,inland,4.0
1411,inspiration,4.0
1412,intentionally,4.0
1413,interior,4.0
1414,ist,4.0
1415,jail,4.0
1416,jan,4.0
1417,joeandthejuice,4.0
1418,jon,4.0
1419,kc,4.0
1420,kcbsnews,4.0
1421,knock,4.0
1422,kusama,4.0
1423,labor,4.0
1424,larryspilfogel,4.0
1425,laser,4.0
1426,lay,4.0
1427,learning,4.0
1428,lesson,4.0
1429,letter,4.0
1430,lh,4.0
1431,liberal,4.0
1432,limo,4.0
1433,lockdown,4.0
1434,loop,4.0
1435,lord,4.0
1436,loss,4.0
1437,louis,4.0
1438,loyalty,4.0
1439,lt,4.0
1440,maker,4.0
1441,mandate,4.0
1442,marshall,4.0
1443,mate,4.0
1444,matt,4.0
1445,mbrianaepler,4.0
1446,mcdonalds,4.0
1447,mcdonnell,4.0
1448,meditation,4.0
1449,melbourne,4.0
1450,melt,4.0
1451,merger,4.0
1452,mid,4.0
1453,mindfulness,4.0
1454,miserable,4.0
1455,mislead,4.0
1456,modern,4.0
1457,mood,4.0
1458,moral,4.0
1459,mountain,4.0
1460,msnbc,4.0
1461,mt,4.0
1462,mum,4.0
1463,muslimbanprotesthttps,4.0
1464,napafires,4.0
1465,nasty,4.0
1466,nephew,4.0
1467,nerd,4.0
1468,noisy,4.0
1469,normally,4.0
1470,northbound,4.0
1471,nostalgia,4.0
1472,notmypresident,4.0
1473,november,4.0
1474,nytimes,4.0
1475,nz,4.0
1476,odd,4.0
1477,offering,4.0
1478,oj,4.0
1479,omw,4.0
1480,operational,4.0
1481,opinion,4.0
1482,origin,4.0
1483,ouch,4.0
1484,outline,4.0
1485,overbooked,4.0
1486,overbooking,4.0
1487,overlook,4.0
1488,pad,4.0
1489,painful,4.0
1490,parade,4.0
1491,parisaeroport,4.0
1492,partial,4.0
1493,participant,4.0
1494,particularly,4.0
1495,partnership,4.0
1496,performance,4.0
1497,philippine,4.0
1498,pho,4.0
1499,photographer,4.0
1500,photography,4.0
1501,pile,4.0
1502,ping,4.0
1503,pioneer,4.0
1504,pleased,4.0
1505,pond,4.0
1506,pool,4.0
1507,pop,4.0
1508,possibility,4.0
1509,pound,4.0
1510,premiere,4.0
1511,prepared,4.0
1512,presentation,4.0
1513,prevent,4.0
1514,preview,4.0
1515,produce,4.0
1516,production,4.0
1517,productive,4.0
1518,promote,4.0
1519,prompt,4.0
1520,proper,4.0
1521,proposal,4.0
1522,protocol,4.0
1523,publicize,4.0
1524,pure,4.0
1525,purpose,4.0
1526,quantas,4.0
1527,radio,4.0
1528,raider,4.0
1529,ran,4.0
1530,rebooking,4.0
1531,recommendation,4.0
1532,recover,4.0
1533,redwood,4.0
1534,reenacts,4.0
1535,regularly,4.0
1536,relaxed,4.0
1537,relieve,4.0
1538,rename,4.0
1539,renovate,4.0
1540,reportedly,4.0
1541,repping,4.0
1542,repspeier,4.0
1543,residence,4.0
1544,resisthttps,4.0
1545,responsible,4.0
1546,reunion,4.0
1547,reunite,4.0
1548,rn,4.0
1549,roam,4.0
1550,roast,4.0
1551,role,4.0
1552,router,4.0
1553,russia,4.0
1554,rv,4.0
1555,sadness,4.0
1556,sanfranmag,4.0
1557,santarosa,4.0
1558,satairport,4.0
1559,satellite,4.0
1560,scale,4.0
1561,sccdp,4.0
1562,science,4.0
1563,scream,4.0
1564,seatac,4.0
1565,seating,4.0
1566,sector,4.0
1567,segment,4.0
1568,selection,4.0
1569,seth,4.0
1570,sfoplanespotter,4.0
1571,sfouafriendly,4.0
1572,shade,4.0
1573,shirt,4.0
1574,shitshow,4.0
1575,silent,4.0
1576,sing,4.0
1577,slam,4.0
1578,slice,4.0
1579,slide,4.0
1580,slightly,4.0
1581,slot,4.0
1582,sneak,4.0
1583,soap,4.0
1584,sonomafire,4.0
1585,sonomafires,4.0
1586,southern,4.0
1587,speaking,4.0
1588,specialist,4.0
1589,spokesperson,4.0
1590,sq,4.0
1591,square,4.0
1592,squeeze,4.0
1593,stair,4.0
1594,standing,4.0
1595,starwars,4.0
1596,stella,4.0
1597,stressful,4.0
1598,submit,4.0
1599,success,4.0
1600,sudden,4.0
1601,suddenly,4.0
1602,superb,4.0
1603,surprised,4.0
1604,syria,4.0
1605,tackle,4.0
1606,taiwanese,4.0
1607,tape,4.0
1608,target,4.0
1609,tarmaclife,4.0
1610,taxiing,4.0
1611,techinclusion,4.0
1612,tempt,4.0
1613,thats,4.0
1614,tie,4.0
1615,tim,4.0
1616,tlv,4.0
1617,trans,4.0
1618,transportals,4.0
1619,travelblogger,4.0
1620,travelretail,4.0
1621,trek,4.0
1622,trick,4.0
1623,truth,4.0
1624,tur,4.0
1625,turkish,4.0
1626,twittersf,4.0
1627,uae,4.0
1628,unjust,4.0
1629,unlimited,4.0
1630,unreal,4.0
1631,urgent,4.0
1632,vafaie,4.0
1633,value,4.0
1634,variety,4.0
1635,veggie,4.0
1636,vendor,4.0
1637,version,4.0
1638,vet,4.0
1639,victim,4.0
1640,visible,4.0
1641,visitca,4.0
1642,vmware,4.0
1643,waiting,4.0
1644,weak,4.0
1645,weekly,4.0
1646,wellness,4.0
1647,whirlwind,4.0
1648,whoa,4.0
1649,wknd,4.0
1650,woo,4.0
1651,workshop,4.0
1652,wowairsupport,4.0
1653,youth,4.0
1654,zoo,4.0
1655,abandon,3.0
1656,aborted,3.0
1657,abroad,3.0
1658,abt,3.0
1659,accident,3.0
1660,accidentally,3.0
1661,actively,3.0
1662,acv,3.0
1663,ada,3.0
1664,advertisement,3.0
1665,aer,3.0
1666,aerial,3.0
1667,aeropuerto,3.0
1668,afford,3.0
1669,africa,3.0
1670,airlineroute,3.0
1671,airspace,3.0
1672,airtraffic,3.0
1673,akl,3.0
1674,alabama,3.0
1675,albuquerque,3.0
1676,alcohol,3.0
1677,align,3.0
1678,alike,3.0
1679,allegedly,3.0
1680,allengroupinc,3.0
1681,alliance,3.0
1682,altitude,3.0
1683,alto,3.0
1684,amazon,3.0
1685,ambassador,3.0
1686,americanairlines,3.0
1687,andrew,3.0
1688,andy,3.0
1689,angel,3.0
1690,animalassistedtherapy,3.0
1691,ann,3.0
1692,anncoulter,3.0
1693,anne,3.0
1694,annoyed,3.0
1695,anticipated,3.0
1696,antonov,3.0
1697,anybody,3.0
1698,applause,3.0
1699,appointment,3.0
1700,approx,3.0
1701,apps,3.0
1702,ar,3.0
1703,arabia,3.0
1704,arcata,3.0
1705,architect,3.0
1706,argh,3.0
1707,arm,3.0
1708,artwork,3.0
1709,arubanetworks,3.0
1710,asleep,3.0
1711,assault,3.0
1712,assign,3.0
1713,associate,3.0
1714,atleast,3.0
1715,attach,3.0
1716,auntie,3.0
1717,availability,3.0
1718,badge,3.0
1719,badly,3.0
1720,bae,3.0
1721,bake,3.0
1722,barber,3.0
1723,basking,3.0
1724,battery,3.0
1725,bayareacouncil,3.0
1726,baybridge,3.0
1727,baymilcom,3.0
1728,bbishopairport,3.0
1729,bbj,3.0
1730,beg,3.0
1731,behalf,3.0
1732,behave,3.0
1733,bell,3.0
1734,better,3.0
1735,beverage,3.0
1736,booking,3.0
1737,bourdain,3.0
1738,bout,3.0
1739,bp,3.0
1740,brace,3.0
1741,brain,3.0
1742,brass,3.0
1743,brazil,3.0
1744,breezy,3.0
1745,bronco,3.0
1746,buck,3.0
1747,bud,3.0
1748,buffalo,3.0
1749,bull,3.0
1750,bum,3.0
1751,burbank,3.0
1752,button,3.0
1753,bypass,3.0
1754,calgary,3.0
1755,californiawildfires,3.0
1756,cam,3.0
1757,campus,3.0
1758,carpet,3.0
1759,carryon,3.0
1760,castro,3.0
1761,cattle,3.0
1762,caught,3.0
1763,cellphone,3.0
1764,century,3.0
1765,certify,3.0
1766,chain,3.0
1767,champ,3.0
1768,champion,3.0
1769,chanel,3.0
1770,chaotic,3.0
1771,charger,3.0
1772,charm,3.0
1773,cheerful,3.0
1774,chefwonder,3.0
1775,chile,3.0
1776,chinaeasternna,3.0
1777,chpsanfrancisco,3.0
1778,christ,3.0
1779,christian,3.0
1780,cio,3.0
1781,circumstance,3.0
1782,cite,3.0
1783,clog,3.0
1784,closed,3.0
1785,cloudy,3.0
1786,clus,3.0
1787,cmon,3.0
1788,coat,3.0
1789,coconut,3.0
1790,collect,3.0
1791,colorado,3.0
1792,combo,3.0
1793,comedy,3.0
1794,comin,3.0
1795,coming,3.0
1796,commences,3.0
1797,commitment,3.0
1798,communist,3.0
1799,compasssfo,3.0
1800,compelling,3.0
1801,competition,3.0
1802,concept,3.0
1803,concert,3.0
1804,condemn,3.0
1805,conduct,3.0
1806,configuration,3.0
1807,consistency,3.0
1808,console,3.0
1809,constantly,3.0
1810,container,3.0
1811,continental,3.0
1812,continued,3.0
1813,controller,3.0
1814,convert,3.0
1815,conveyor,3.0
1816,convince,3.0
1817,coolest,3.0
1818,corkairport,3.0
1819,corn,3.0
1820,correctly,3.0
1821,cosairport,3.0
1822,courteous,3.0
1823,cphairports,3.0
1824,craziness,3.0
1825,creative,3.0
1826,creep,3.0
1827,crewlife,3.0
1828,crowded,3.0
1829,cruel,3.0
1830,cuba,3.0
1831,culinary,3.0
1832,curfew,3.0
1833,curse,3.0
1834,customs,3.0
1835,cycling,3.0
1836,dan,3.0
1837,danger,3.0
1838,dave,3.0
1839,davos,3.0
1840,deadline,3.0
1841,decoration,3.0
1842,defeo,3.0
1843,definition,3.0
1844,deli,3.0
1845,demonstrate,3.0
1846,departures,3.0
1847,deploy,3.0
1848,detector,3.0
1849,developer,3.0
1850,dfsofficial,3.0
1851,diaper,3.0
1852,dictatorship,3.0
1853,didyouknow,3.0
1854,dis,3.0
1855,disability,3.0
1856,discount,3.0
1857,disembark,3.0
1858,dispatch,3.0
1859,distract,3.0
1860,disturb,3.0
1861,divide,3.0
1862,dj,3.0
1863,dogpatch,3.0
1864,dollar,3.0
1865,dooris,3.0
1866,dot,3.0
1867,downside,3.0
1868,drama,3.0
1869,dramatic,3.0
1870,drizzle,3.0
1871,dryer,3.0
1872,dumb,3.0
1873,dxb,3.0
1874,eagle,3.0
1875,ease,3.0
1876,ed,3.0
1877,edge,3.0
1878,educate,3.0
1879,eff,3.0
1880,efficiency,3.0
1881,ek,3.0
1882,el,3.0
1883,electricity,3.0
1884,elevator,3.0
1885,elite,3.0
1886,emiratessupport,3.0
1887,emotion,3.0
1888,employment,3.0
1889,empower,3.0
1890,endmuslimban,3.0
1891,endovershoot,3.0
1892,energyefficiency,3.0
1893,enforcer,3.0
1894,engage,3.0
1895,equality,3.0
1896,error,3.0
1897,estate,3.0
1898,estimate,3.0
1899,eup,3.0
1900,european,3.0
1901,evaluate,3.0
1902,eve,3.0
1903,evidence,3.0
1904,exception,3.0
1905,excessive,3.0
1906,exchange,3.0
1907,exempt,3.0
1908,factor,3.0
1909,failure,3.0
1910,false,3.0
1911,familyguyonfox,3.0
1912,favourite,3.0
1913,fcc,3.0
1914,feat,3.0
1915,feb,3.0
1916,fell,3.0
1917,ffs,3.0
1918,firstworldproblems,3.0
1919,fl,3.0
1920,flagship,3.0
1921,flee,3.0
1922,flightaware,3.0
1923,flip,3.0
1924,flts,3.0
1925,flygrford,3.0
1926,flyin,3.0
1927,fml,3.0
1928,folks,3.0
1929,forum,3.0
1930,foster,3.0
1931,frame,3.0
1932,fransisco,3.0
1933,freshly,3.0
1934,frighten,3.0
1935,frontierair,3.0
1936,ftw,3.0
1937,fundraise,3.0
1938,funeral,3.0
1939,funky,3.0
1940,furniture,3.0
1941,gah,3.0
1942,gatewayairport,3.0
1943,gavin,3.0
1944,gdc,3.0
1945,gdp,3.0
1946,gee,3.0
1947,general,3.0
1948,genslerlfstyle,3.0
1949,globally,3.0
1950,goddamn,3.0
1951,gottsroadside,3.0
1952,grandhyattsf,3.0
1953,greatly,3.0
1954,greenbeanscafe,3.0
1955,greenbuild,3.0
1956,greenbuilding,3.0
1957,gridlock,3.0
1958,grows,3.0
1959,guacamole,3.0
1960,gulf,3.0
1961,hah,3.0
1962,hail,3.0
1963,happiness,3.0
1964,harass,3.0
1965,harder,3.0
1966,hatred,3.0
1967,hazard,3.0
1968,heavenly,3.0
1969,helmet,3.0
1970,hillaryronen,3.0
1971,hipster,3.0
1972,hispanic,3.0
1973,historical,3.0
1974,hole,3.0
1975,hollywood,3.0
1976,homeless,3.0
1977,hoo,3.0
1978,hoodies,3.0
1979,horribly,3.0
1980,horse,3.0
1981,housing,3.0
1982,howdy,3.0
1983,hubby,3.0
1984,hurricaneirma,3.0
1985,hurt,3.0
1986,hydration,3.0
1987,idiotic,3.0
1988,idk,3.0
1989,iexplorechat,3.0
1990,iflyspokane,3.0
1991,implementation,3.0
1992,incorrect,3.0
1993,indian,3.0
1994,indianapolis,3.0
1995,inflight,3.0
1996,innovative,3.0
1997,install,3.0
1998,instant,3.0
1999,intercom,3.0
2000,internacional,3.0
2001,internships,3.0
2002,introduces,3.0
2003,invest,3.0
2004,ipads,3.0
2005,iraqi,3.0
2006,irish,3.0
2007,irony,3.0
2008,isi,3.0
2009,istanbulairport,3.0
2010,itallstartsinmanchester,3.0
2011,itinerary,3.0
2012,james,3.0
2013,janekim,3.0
2014,japanese,3.0
2015,jordan,3.0
2016,jumpseat,3.0
2017,katie,3.0
2018,kbcwtv,3.0
2019,keeper,3.0
2020,kefairport,3.0
2021,kevin,3.0
2022,kindle,3.0
2023,kindly,3.0
2024,kiswani,3.0
2025,knoxville,3.0
2026,kqed,3.0
2027,labound,3.0
2028,laguardia,3.0
2029,landed,3.0
2030,language,3.0
2031,lara,3.0
2032,laundry,3.0
2033,layer,3.0
2034,laywers,3.0
2035,legacy,3.0
2036,legend,3.0
2037,lem,3.0
2038,length,3.0
2039,letthepeopleout,3.0
2040,library,3.0
2041,lifting,3.0
2042,limonsf,3.0
2043,lingus,3.0
2044,lmao,3.0
2045,lobby,3.0
2046,londoncityair,3.0
2047,loved,3.0
2048,lulu,3.0
2049,luncheon,3.0
2050,madhouse,3.0
2051,madrid,3.0
2052,maga,3.0
2053,magazine,3.0
2054,magical,3.0
2055,magnet,3.0
2056,maintance,3.0
2057,majestic,3.0
2058,mama,3.0
2059,manner,3.0
2060,mascot,3.0
2061,massage,3.0
2062,material,3.0
2063,mdw,3.0
2064,meantime,3.0
2065,measure,3.0
2066,medicine,3.0
2067,meetingprofs,3.0
2068,meetinsf,3.0
2069,meltdown,3.0
2070,melygreen,3.0
2071,merge,3.0
2072,mgafni,3.0
2073,miccheck,3.0
2074,microphone,3.0
2075,midday,3.0
2076,mike,3.0
2077,milestone,3.0
2078,minnesota,3.0
2079,mobilize,3.0
2080,mondaymotivation,3.0
2081,morally,3.0
2082,morn,3.0
2083,mouth,3.0
2084,mover,3.0
2085,muc,3.0
2086,muni,3.0
2087,murray,3.0
2088,muslims,3.0
2089,mustafa,3.0
2090,nah,3.0
2091,names,3.0
2092,napafire,3.0
2093,narrow,3.0
2094,natalie,3.0
2095,nba,3.0
2096,nearby,3.0
2097,neilhimself,3.0
2098,neutral,3.0
2099,newjersey,3.0
2100,newly,3.0
2101,nicer,3.0
2102,nj,3.0
2103,norm,3.0
2104,northwest,3.0
2105,nosurge,3.0
2106,notcool,3.0
2107,nov,3.0
2108,npr,3.0
2109,numerous,3.0
2110,obviously,3.0
2111,occasion,3.0
2112,occupied,3.0
2113,ocean,3.0
2114,oddly,3.0
2115,offline,3.0
2116,onthisday,3.0
2117,onwards,3.0
2118,opt,3.0
2119,ordeal,3.0
2120,organic,3.0
2121,organizer,3.0
2122,orientation,3.0
2123,outrage,3.0
2124,outta,3.0
2125,overflow,3.0
2126,overwhelm,3.0
2127,owner,3.0
2128,pace,3.0
2129,paine,3.0
2130,panam,3.0
2131,particular,3.0
2132,pathetic,3.0
2133,patientexperience,3.0
2134,pause,3.0
2135,peek,3.0
2136,peninsula,3.0
2137,perfectly,3.0
2138,perry,3.0
2139,personally,3.0
2140,peru,3.0
2141,peter,3.0
2142,physical,3.0
2143,pie,3.0
2144,piefivepizza,3.0
2145,pilotlife,3.0
2146,pilotsview,3.0
2147,pin,3.0
2148,pitbull,3.0
2149,plaintiff,3.0
2150,planeporn,3.0
2151,planetacterra,3.0
2152,platform,3.0
2153,pleasantly,3.0
2154,plshopdinefly,3.0
2155,pluginamerica,3.0
2156,po,3.0
2157,pocket,3.0
2158,podcast,3.0
2159,poetry,3.0
2160,polar,3.0
2161,politics,3.0
2162,poll,3.0
2163,poorservice,3.0
2164,pose,3.0
2165,potential,3.0
2166,potentially,3.0
2167,potnusa,3.0
2168,practically,3.0
2169,premiumlounge,3.0
2170,prepares,3.0
2171,pres,3.0
2172,previous,3.0
2173,pricing,3.0
2174,prioritypass,3.0
2175,privatize,3.0
2176,probs,3.0
2177,procedure,3.0
2178,professionally,3.0
2179,professor,3.0
2180,propose,3.0
2181,prove,3.0
2182,psyched,3.0
2183,pun,3.0
2184,purewow,3.0
2185,pursue,3.0
2186,pvr,3.0
2187,qots,3.0
2188,quicker,3.0
2189,rainfall,3.0
2190,randomly,3.0
2191,rarely,3.0
2192,rd,3.0
2193,rear,3.0
2194,rebuild,3.0
2195,recall,3.0
2196,recap,3.0
2197,receiver,3.0
2198,reckless,3.0
2199,reconsider,3.0
2200,recycle,3.0
2201,refer,3.0
2202,refreshment,3.0
2203,region,3.0
2204,register,3.0
2205,regrann,3.0
2206,regret,3.0
2207,reindeer,3.0
2208,relation,3.0
2209,rely,3.0
2210,remodel,3.0
2211,renoairport,3.0
2212,replacement,3.0
2213,representative,3.0
2214,reserve,3.0
2215,resisttrumphttps,3.0
2216,reusable,3.0
2217,reward,3.0
2218,rfp,3.0
2219,ro,3.0
2220,rob,3.0
2221,rotate,3.0
2222,rotation,3.0
2223,routine,3.0
2224,rumble,3.0
2225,rwy,3.0
2226,sadden,3.0
2227,sagarpathak,3.0
2228,sail,3.0
2229,salmon,3.0
2230,salute,3.0
2231,samsungdevus,3.0
2232,sandiego,3.0
2233,sandwhich,3.0
2234,sanmateocounty,3.0
2235,sayin,3.0
2236,sbairport,3.0
2237,scam,3.0
2238,scenario,3.0
2239,scheduling,3.0
2240,scope,3.0
2241,score,3.0
2242,scotch,3.0
2243,screenshot,3.0
2244,seahawks,3.0
2245,secondary,3.0
2246,seemingly,3.0
2247,sent,3.0
2248,sequence,3.0
2249,session,3.0
2250,setup,3.0
2251,seven,3.0
2252,sfbayresistancehttps,3.0
2253,sffd,3.0
2254,sfohistory,3.0
2255,sfoua,3.0
2256,sfspca,3.0
2257,sfwater,3.0
2258,shadow,3.0
2259,shake,3.0
2260,shark,3.0
2261,sheet,3.0
2262,shooter,3.0
2263,shortcut,3.0
2264,si,3.0
2265,sierra,3.0
2266,sierraclub,3.0
2267,sighting,3.0
2268,simulate,3.0
2269,sj,3.0
2270,skill,3.0
2271,sleeping,3.0
2272,slr,3.0
2273,smartcities,3.0
2274,sna,3.0
2275,snowy,3.0
2276,sock,3.0
2277,solareclipse,3.0
2278,soup,3.0
2279,sp,3.0
2280,spacious,3.0
2281,spaulsonktvu,3.0
2282,spawn,3.0
2283,spell,3.0
2284,spoil,3.0
2285,spokane,3.0
2286,sport,3.0
2287,spotting,3.0
2288,srsly,3.0
2289,starve,3.0
2290,steady,3.0
2291,stellar,3.0
2292,strategy,3.0
2293,streetfood,3.0
2294,stretch,3.0
2295,stroller,3.0
2296,struggle,3.0
2297,sub,3.0
2298,suit,3.0
2299,sum,3.0
2300,sup,3.0
2301,supdavepine,3.0
2302,surcharge,3.0
2303,sustain,3.0
2304,sustainablesmc,3.0
2305,swag,3.0
2306,swarmapp,3.0
2307,sweepstakes,3.0
2308,sweetheart,3.0
2309,swim,3.0
2310,swining,3.0
2311,sword,3.0
2312,tahiti,3.0
2313,tandem,3.0
2314,tarmack,3.0
2315,tea,3.0
2316,teammate,3.0
2317,teamwork,3.0
2318,teddy,3.0
2319,tedrubin,3.0
2320,teenager,3.0
2321,telaviv,3.0
2322,tend,3.0
2323,tender,3.0
2324,teresa,3.0
2325,terror,3.0
2326,terrorism,3.0
2327,terrorist,3.0
2328,thanksgivingeve,3.0
2329,theater,3.0
2330,theplantcafe,3.0
2331,thetypewriter,3.0
2332,threat,3.0
2333,thurs,3.0
2334,tic,3.0
2335,tiger,3.0
2336,tigerbeat,3.0
2337,timely,3.0
2338,timing,3.0
2339,tix,3.0
2340,tmom,3.0
2341,toast,3.0
2342,toby,3.0
2343,todayinthesky,3.0
2344,tofu,3.0
2345,torture,3.0
2346,tourism,3.0
2347,toy,3.0
2348,transgender,3.0
2349,transportworker,3.0
2350,travelskillshttps,3.0
2351,trend,3.0
2352,tribute,3.0
2353,trigger,3.0
2354,tripswithtykes,3.0
2355,trolley,3.0
2356,trumpban,3.0
2357,trumphotels,3.0
2358,tucsonairport,3.0
2359,tupelo,3.0
2360,twa,3.0
2361,tweeting,3.0
2362,typically,3.0
2363,ugly,3.0
2364,ultimately,3.0
2365,umm,3.0
2366,unable,3.0
2367,understanding,3.0
2368,unfair,3.0
2369,uniform,3.0
2370,unitedsucks,3.0
2371,unites,3.0
2372,unjustly,3.0
2373,unlike,3.0
2374,unload,3.0
2375,uso,3.0
2376,valencia,3.0
2377,van,3.0
2378,various,3.0
2379,vending,3.0
2380,veteran,3.0
2381,victory,3.0
2382,vid,3.0
2383,vinovolo,3.0
2384,violation,3.0
2385,virtue,3.0
2386,visitacion,3.0
2387,visitsf,3.0
2388,visual,3.0
2389,voiceworkshop,3.0
2390,volume,3.0
2391,wagpatrol,3.0
2392,wallet,3.0
2393,warrant,3.0
2394,wasnt,3.0
2395,waterfront,3.0
2396,wayfinding,3.0
2397,weigh,3.0
2398,westcoast,3.0
2399,westfield,3.0
2400,wheelsdown,3.0
2401,wheresjan,3.0
2402,whew,3.0
2403,whodoyouserve,3.0
2404,whoop,3.0
2405,wide,3.0
2406,william,3.0
2407,windowseat,3.0
2408,windshield,3.0
2409,winecountryfires,3.0
2410,wiper,3.0
2411,worried,3.0
2412,worst,3.0
2413,worthwhile,3.0
2414,wouldnt,3.0
2415,writer,3.0
2416,wx,3.0
2417,xd,3.0
2418,xlei,3.0
2419,yayoi,3.0
2420,yelp,3.0
2421,yuck,3.0
2422,yul,3.0
2423,zen,3.0
2424,zne,3.0
2425,zrh,3.0
2426,zurich,3.0
2427,aal,2.0
2428,aaoms,2.0
2429,aateam,2.0
2430,ab,2.0
2431,abc,2.0
2432,abrasive,2.0
2433,abstract,2.0
2434,abusive,2.0
2435,abysmal,2.0
2436,accenture,2.0
2437,accessibility,2.0
2438,accessory,2.0
2439,accommodation,2.0
2440,accomplice,2.0
2441,accountability,2.0
2442,acct,2.0
2443,accurately,2.0
2444,acknowledge,2.0
2445,actionstargames,2.0
2446,actualy,2.0
2447,adam,2.0
2448,adaptation,2.0
2449,added,2.0
2450,adelaideairport,2.0
2451,adios,2.0
2452,adore,2.0
2453,advantage,2.0
2454,advertise,2.0
2455,advertising,2.0
2456,aed,2.0
2457,aethihad,2.0
2458,affair,2.0
2459,affordable,2.0
2460,aftacon,2.0
2461,ag,2.0
2462,ageny,2.0
2463,aggressive,2.0
2464,agreement,2.0
2465,aide,2.0
2466,airbnb,2.0
2467,airfare,2.0
2468,airfranceus,2.0
2469,airlineflyer,2.0
2470,airlinegeeks,2.0
2471,airlinesampler,2.0
2472,airman,2.0
2473,airnzfairy,2.0
2474,airportdelay,2.0
2475,airportdelays,2.0
2476,airporthttps,2.0
2477,airportraits,2.0
2478,airportsecurity,2.0
2479,airportshttp,2.0
2480,airporttoptips,2.0
2481,airshow,2.0
2482,airways,2.0
2483,al,2.0
2484,ala,2.0
2485,alaskaairlines,2.0
2486,alaskan,2.0
2487,albeit,2.0
2488,album,2.0
2489,alcatraz,2.0
2490,alcatrazisland,2.0
2491,alejandro,2.0
2492,alejandrotoledo,2.0
2493,algorithm,2.0
2494,alien,2.0
2495,allergy,2.0
2496,ally,2.0
2497,alot,2.0
2498,alwayssf,2.0
2499,amazingly,2.0
2500,amexcenturion,2.0
2501,amid,2.0
2502,amp,2.0
2503,amt,2.0
2504,amy,2.0
2505,ana,2.0
2506,ankle,2.0
2507,anniv,2.0
2508,announcer,2.0
2509,annoying,2.0
2510,antsy,2.0
2511,anxious,2.0
2512,apimanagement,2.0
2513,appearance,2.0
2514,appropriately,2.0
2515,approximately,2.0
2516,arch,2.0
2517,arena,2.0
2518,arent,2.0
2519,arity,2.0
2520,arizona,2.0
2521,arlanda,2.0
2522,armstrong,2.0
2523,aroc,2.0
2524,arounds,2.0
2525,arrange,2.0
2526,arro,2.0
2527,arthur,2.0
2528,ashley,2.0
2529,asianaairlines,2.0
2530,asinine,2.0
2531,aspiration,2.0
2532,atm,2.0
2533,atrocity,2.0
2534,audi,2.0
2535,aunt,2.0
2536,aus,2.0
2537,autodesk,2.0
2538,autographed,2.0
2539,autographs,2.0
2540,avail,2.0
2541,avgeekery,2.0
2542,avgeekretweeter,2.0
2543,aviationphotography,2.0
2544,avocado,2.0
2545,avoidable,2.0
2546,awareness,2.0
2547,awe,2.0
2548,awesomeness,2.0
2549,awkward,2.0
2550,awwww,2.0
2551,azwx,2.0
2552,baaaack,2.0
2553,babylon,2.0
2554,bachelor,2.0
2555,backdrop,2.0
2556,backwards,2.0
2557,bacon,2.0
2558,badass,2.0
2559,badcoordination,2.0
2560,badpoetryday,2.0
2561,bagel,2.0
2562,bail,2.0
2563,bali,2.0
2564,baltimore,2.0
2565,bangkok,2.0
2566,banjo,2.0
2567,bankofthewest,2.0
2568,bankrupt,2.0
2569,barbie,2.0
2570,bark,2.0
2571,barrel,2.0
2572,barricade,2.0
2573,baseball,2.0
2574,bash,2.0
2575,basic,2.0
2576,basketball,2.0
2577,bayareastorm,2.0
2578,baybridgeinfo,2.0
2579,bayshore,2.0
2580,bbc,2.0
2581,bcbsnc,2.0
2582,bd,2.0
2583,beautifully,2.0
2584,beep,2.0
2585,belknap,2.0
2586,bend,2.0
2587,bernal,2.0
2588,beth,2.0
2589,betray,2.0
2590,betrayal,2.0
2591,beveried,2.0
2592,bff,2.0
2593,bias,2.0
2594,bid,2.0
2595,biggmarv,2.0
2596,bigmetalbird,2.0
2597,billyeichner,2.0
2598,bind,2.0
2599,biofuel,2.0
2600,biometrics,2.0
2601,birthdayweek,2.0
2602,bitch,2.0
2603,blade,2.0
2604,blanca,2.0
2605,blatantly,2.0
2606,blood,2.0
2607,bloody,2.0
2608,blrairport,2.0
2609,boast,2.0
2610,bobnbc,2.0
2611,boeingpix,2.0
2612,bog,2.0
2613,bogota,2.0
2614,boise,2.0
2615,bolt,2.0
2616,bombardierjets,2.0
2617,bomber,2.0
2618,bone,2.0
2619,boob,2.0
2620,booksinc,2.0
2621,boop,2.0
2622,booyah,2.0
2623,borrow,2.0
2624,boudinbakery,2.0
2625,boycott,2.0
2626,boyfriend,2.0
2627,boys,2.0
2628,bozemanairport,2.0
2629,bra,2.0
2630,bradley,2.0
2631,brag,2.0
2632,braniff,2.0
2633,breaker,2.0
2634,breath,2.0
2635,brighten,2.0
2636,brisbaneairport,2.0
2637,broccoli,2.0
2638,brook,2.0
2639,brown,2.0
2640,brownie,2.0
2641,browse,2.0
2642,bruh,2.0
2643,brunch,2.0
2644,brussels,2.0
2645,bubble,2.0
2646,buckle,2.0
2647,bufairport,2.0
2648,buggy,2.0
2649,bulasfo,2.0
2650,bundle,2.0
2651,bunny,2.0
2652,bureaucratic,2.0
2653,bush,2.0
2654,bustin,2.0
2655,butt,2.0
2656,cae,2.0
2657,cafecito,2.0
2658,caffeine,2.0
2659,café,2.0
2660,cair,2.0
2661,calculate,2.0
2662,calif,2.0
2663,califiafarms,2.0
2664,caltranshq,2.0
2665,calvinzito,2.0
2666,cambodia,2.0
